alpha,beta,wer,cer,num_samples
0.01,0.0,0.1107308726472745,0.03769197228816433,200
0.01,0.5,0.11024199462234173,0.037546630492708684,200
0.01,1.0,0.1109753116597409,0.03759507775786057,200
0.01,1.5,0.10999755560987534,0.03740128869725304,200
0.05,0.0,0.1107308726472745,0.03769197228816433,200
0.05,0.5,0.11024199462234173,0.037546630492708684,200
0.05,1.0,0.1109753116597409,0.03759507775786057,200
0.05,1.5,0.10999755560987534,0.037449735962404924,200
0.1,0.0,0.1107308726472745,0.037740419553316217,200
0.1,0.5,0.10999755560987534,0.037546630492708684,200
0.1,1.0,0.1109753116597409,0.03759507775786057,200
0.1,1.5,0.10999755560987534,0.037449735962404924,200
0.5,0.0,0.11341970178440479,0.03803110314422751,200
0.5,0.5,0.1107308726472745,0.037740419553316217,200
0.5,1.0,0.11048643363480812,0.03764352502301245,200
0.5,1.5,0.10999755560987534,0.037498183227556804,200
1.0,0.0,0.11513077487166952,0.0383217867351388,200
1.0,0.5,0.11415301882180395,0.038127997674531275,200
1.0,1.0,0.11293082375947201,0.03793420861392374,200
1.0,1.5,0.1107308726472745,0.03769197228816433,200
2.0,0.0,0.1202639941334637,0.03900004844726515,200
2.0,0.5,0.11708628697140064,0.03861247032605009,200
2.0,1.0,0.11757516499633341,0.03861247032605009,200
2.0,1.5,0.11513077487166952,0.0383217867351388,200
5.0,0.0,0.12857492055732095,0.039920546485150914,200
5.0,0.5,0.12808604253238817,0.039872099219999034,200
5.0,1.0,0.12808604253238817,0.039872099219999034,200
5.0,1.5,0.12686384747005622,0.0396783101593915,200
